Javadoc coverage metrics,Tue, 21 Nov 2023 09:26:04 GMT
Method,JLOC
com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment1,100.00%,0,0.00%
com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment2,100.00%,0,0.00%
com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment3,100.00%,0,0.00%
com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment4,100.00%,0,0.00%
com.example.feelgoodinc.models.Activity,0.00%,7,100.00%
com.example.feelgoodinc.models.Journal,0.00%,12,0.00%
com.example.feelgoodinc.models.Mood,0.00%,4,0.00%
com.example.feelgoodinc.models.Mood.MoodType,0.00%,0,0.00%
com.example.feelgoodinc.models.User,0.00%,7,16.67%
com.example.feelgoodinc.services.JournalService,0.00%,59,50.00%
com.example.feelgoodinc.services.JournalService.LocalBinder,100.00%,7,100.00%
com.example.feelgoodinc.services.MoodService,0.00%,59,50.00%
com.example.feelgoodinc.services.MoodService.LocalBinder,100.00%,3,0.00%
com.example.feelgoodinc.services.UserService,0.00%,79,100.00%
com.example.feelgoodinc.services.UserService.LocalBinder,100.00%,3,0.00%
com.example.feelgoodinc.services.UserServiceTest,0.00%,0,0.00%

Interface,Jf,JLOC,Jm
com.example.feelgoodinc.services.UserService.UserCallback,100.00%,3,0.00%

Package,Jc,Jf,JLOC,Jm
com.example.feelgoodinc,55.56%,8.70%,90,34.48%
com.example.feelgoodinc.activityRecyclerView,0.00%,0.00%,4,50.00%
com.example.feelgoodinc.adapters,100.00%,0.00%,26,37.50%
com.example.feelgoodinc.fragments,60.00%,5.26%,68,36.84%
com.example.feelgoodinc.fragments.calmingActivities,0.00%,0.00%,0,0.00%
com.example.feelgoodinc.fragments.tutorialFragments,0.00%,n/a,0,0.00%
com.example.feelgoodinc.models,60.00%,0.00%,30,8.00%
com.example.feelgoodinc.services,87.50%,0.00%,213,46.67%

Module,Jc,Jf,JLOC,Jm
Feel_Good_Inc.app.androidTest,100.00%,0.00%,5,0.00%
Feel_Good_Inc.app.main,52.94%,4.05%,421,35.24%
Feel_Good_Inc.app.unitTest,25.00%,0.00%,5,0.00%

Project,Jc,Jf,JLOC,Jm
project,47.06%,3.53%,431,29.13%

