Lines of code metrics,Tue, 21 Nov 2023 09:26:45 GMT
Method,CLOC,JLOC,LOC,NCLOC,RLOC
com.example.feelgoodinc.fragments.calmingActivities.GroundingFragment.submitGrounding(View),0,0,35,35,76.09%
com.example.feelgoodinc.fragments.calmingActivities.SleepFragment.closeSoundActivity(),0,0,2,2,7.41%
"com.example.feelgoodinc.fragments.calmingActivities.SleepFragment.onCreateView(LayoutInflater, ViewGroup, Bundle)",0,0,14,14,51.85%
com.example.feelgoodinc.fragments.calmingActivities.SleepFragment.play(int),0,0,9,9,33.33%
"com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment1.onCreateView(LayoutInflater, ViewGroup, Bundle)",1,0,6,5,75.00%
"com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment2.onCreateView(LayoutInflater, ViewGroup, Bundle)",1,0,6,5,75.00%
"com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment3.onCreateView(LayoutInflater, ViewGroup, Bundle)",1,0,6,5,75.00%
"com.example.feelgoodinc.fragments.tutorialFragments.TutorialFragment4.onCreateView(LayoutInflater, ViewGroup, Bundle)",2,0,17,15,89.47%
"com.example.feelgoodinc.models.Activity.Activity(String, String, int, int)",3,7,13,6,68.42%
"com.example.feelgoodinc.models.Journal.Journal(String, Date, Date, String)",1,0,7,6,11.67%
"com.example.feelgoodinc.models.Journal.fromMap(Map<String, Object>)",0,0,3,3,5.00%
com.example.feelgoodinc.models.Journal.getContent(),0,0,3,3,5.00%
com.example.feelgoodinc.models.Journal.getCreatedWhen(),0,0,3,3,5.00%
com.example.feelgoodinc.models.Journal.getJournalName(),0,0,3,3,5.00%
com.example.feelgoodinc.models.Journal.getLastEditedWhen(),0,0,3,3,5.00%
com.example.feelgoodinc.models.Journal.setContent(String),0,0,3,3,5.00%
com.example.feelgoodinc.models.Journal.setCreatedWhen(Date),0,0,3,3,5.00%
com.example.feelgoodinc.models.Journal.setJournalName(String),0,0,3,3,5.00%
com.example.feelgoodinc.models.Journal.setLastEditedWhen(Date),0,0,3,3,5.00%
com.example.feelgoodinc.models.Journal.toMap(),0,0,8,8,13.33%
