Lines of code metrics,,,,,,,,,,,,,,,
Method,CLOC,JLOC,LOC,NCLOC,RLOC,,,,,,,,,,
com.example.feelgoodinc.models.Mood.toMap(),0,0,6,6,14.63%,,,,,,,,,,
com.example.feelgoodinc.models.User.getCurrentUserKey(),3,4,7,3,20.59%,,,,,,,,,,
com.example.feelgoodinc.models.User.getLastLoginWhen(),0,0,3,3,8.82%,,,,,,,,,,
com.example.feelgoodinc.models.User.getPassword(),0,0,3,3,8.82%,,,,,,,,,,
com.example.feelgoodinc.models.User.getUsername(),0,0,3,3,8.82%,,,,,,,,,,
com.example.feelgoodinc.models.User.setLastLoginWhen(Date),0,0,3,3,8.82%,,,,,,,,,,
com.example.feelgoodinc.models.User.setPassword(String),0,0,3,3,8.82%,,,,,,,,,,
com.example.feelgoodinc.models.User.setUsername(String),0,0,3,3,8.82%,,,,,,,,,,
,,,,,,,,,,,,,,,
Class,CLOC,JLOC,LOC,,,,,,,,,,,,
com.example.feelgoodinc.CalendarUtility,38,28,64,,,,,,,,,,,,
com.example.feelgoodinc.ExampleInstrumentedTest,6,5,14,,,,,,,,,,,,
com.example.feelgoodinc.ExampleUnitTest,5,5,11,,,,,,,,,,,,
com.example.feelgoodinc.HomePage,0,0,49,,,,,,,,,,,,
com.example.feelgoodinc.TutorialActivity,3,0,22,,,,,,,,,,,,
com.example.feelgoodinc.adapters.TutorialPagerAdapter,23,23,39,,,,,,,,,,,,
com.example.feelgoodinc.database.JournalDatabaseHelper,22,17,58,,,,,,,,,,,,
com.example.feelgoodinc.database.MoodDatabaseHelper,23,18,59,,,,,,,,,,,,
com.example.feelgoodinc.fragments.HomeFragment,2,0,20,,,,,,,,,,,,
com.example.feelgoodinc.fragments.MoodFragment,5,3,36,,,,,,,,,,,,
com.example.feelgoodinc.fragments.PlaceHolderResources,19,13,49,,,,,,,,,,,,
com.example.feelgoodinc.fragments.ResourcesFragment,19,13,74,,,,,,,,,,,,
com.example.feelgoodinc.fragments.TutorialFragment1,1,0,8,,,,,,,,,,,,
com.example.feelgoodinc.fragments.TutorialFragment2,1,0,8,,,,,,,,,,,,
com.example.feelgoodinc.fragments.TutorialFragment3,1,0,8,,,,,,,,,,,,
com.example.feelgoodinc.fragments.TutorialFragment4,2,0,19,,,,,,,,,,,,
com.example.feelgoodinc.fragments.UserProfileFragment,12,4,35,,,,,,,,,,,,
com.example.feelgoodinc.models.Journal,13,12,60,,,,,,,,,,,,
com.example.feelgoodinc.models.Mood,4,4,33,,,,,,,,,,,,
com.example.feelgoodinc.models.Mood.MoodType,1,0,8,,,,,,,,,,,,
com.example.feelgoodinc.models.User,9,7,34,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Package,CLOC,CLOC(rec),JLOC,JLOC(rec),LOC,LOC(rec),LOCp,LOCp(rec),LOCt,LOCt(rec),NCLOC,NCLOCp,NCLOCp(rec),NCLOCt,NCLOCt(rec)
,n/a,90,n/a,152,n/a,"2,194",n/a,"2,159",n/a,35,n/a,n/a,"2,090",n/a,34
com,n/a,57,n/a,152,n/a,905,n/a,870,n/a,35,n/a,n/a,819,n/a,34
com.example,n/a,57,n/a,152,n/a,905,n/a,870,n/a,35,n/a,n/a,819,n/a,34
com.example.feelgoodinc,0,57,38,152,204,905,169,870,35,35,190,156,819,34,34
com.example.feelgoodinc.adapters,0,0,23,23,45,45,45,45,0,0,45,45,45,0,n/a
com.example.feelgoodinc.database,0,10,35,35,164,164,164,164,0,0,156,156,156,0,n/a
com.example.feelgoodinc.fragments,0,29,33,33,345,345,345,345,0,0,318,318,318,0,n/a
com.example.feelgoodinc.models,0,4,23,23,147,147,147,147,0,0,144,144,144,0,n/a
drawable,0,0,n/a,n/a,421,421,421,421,0,0,421,421,421,0,n/a
font,0,0,n/a,n/a,28,28,28,28,0,0,28,28,28,0,n/a
layout,0,0,n/a,n/a,679,679,679,679,0,0,679,679,679,0,n/a
