Complexity metrics,,,,
Method,CogC,ev(G),iv(G),v(G)
com.example.feelgoodinc.fragments.UserProfileFragment,1.33,2,4,
com.example.feelgoodinc.models.Journal,1,1,11,
com.example.feelgoodinc.models.Mood,1,1,7,
com.example.feelgoodinc.models.Mood.MoodType,n/a,n/a,0,
com.example.feelgoodinc.models.User,1,1,7,
,,,,
Package,v(G)avg,v(G)tot,,
com.example.feelgoodinc,2,14,,
com.example.feelgoodinc.adapters,1,3,,
com.example.feelgoodinc.database,1.67,10,,
com.example.feelgoodinc.fragments,1.32,25,,
com.example.feelgoodinc.models,1,25,,
,,,,
Module,v(G)avg,v(G)tot,,
Feel_Good_Inc.app.androidTest,1,1,,
Feel_Good_Inc.app.main,1.29,75,,
Feel_Good_Inc.app.unitTest,1,1,,
,,,,
Project,v(G)avg,v(G)tot,,
project,1.28,77,,
