Javadoc coverage metrics,,,,
com.example.feelgoodinc.fragments.MoodFragment,100.00%,3,0.00%,
com.example.feelgoodinc.fragments.PlaceHolderResources,0.00%,13,25.00%,
com.example.feelgoodinc.fragments.ResourcesFragment,0.00%,13,25.00%,
com.example.feelgoodinc.fragments.TutorialFragment1,100.00%,0,0.00%,
com.example.feelgoodinc.fragments.TutorialFragment2,100.00%,0,0.00%,
com.example.feelgoodinc.fragments.TutorialFragment3,100.00%,0,0.00%,
com.example.feelgoodinc.fragments.TutorialFragment4,100.00%,0,0.00%,
com.example.feelgoodinc.fragments.UserProfileFragment,100.00%,4,33.33%,
com.example.feelgoodinc.models.Journal,0.00%,12,0.00%,
com.example.feelgoodinc.models.Mood,0.00%,4,0.00%,
com.example.feelgoodinc.models.Mood.MoodType,0.00%,0,0.00%,
com.example.feelgoodinc.models.User,0.00%,7,14.29%,
,,,,
Package,Jc,Jf,JLOC,Jm
com.example.feelgoodinc,60.00%,0.00%,38,28.57%
com.example.feelgoodinc.adapters,100.00%,0.00%,23,100.00%
com.example.feelgoodinc.database,100.00%,0.00%,35,66.67%
com.example.feelgoodinc.fragments,33.33%,0.00%,33,15.79%
com.example.feelgoodinc.models,75.00%,0.00%,23,4.00%
,,,,
Module,Jc,Jf,JLOC,Jm
Feel_Good_Inc.app.androidTest,100.00%,0.00%,5,0.00%
Feel_Good_Inc.app.main,52.63%,0.00%,142,22.41%
Feel_Good_Inc.app.unitTest,100.00%,0.00%,5,0.00%
,,,,
Project,Jc,Jf,JLOC,Jm
project,60.00%,0.00%,152,21.67%
